timestamp,rotationRoll,rotationPitch,direction
2025-02-17 01:26:52.858121,73.0,7.0,205.0
2025-02-17 01:26:52.865040,72.0,7.0,205.0
2025-02-17 01:26:52.878041,71.0,6.0,205.0
2025-02-17 01:26:52.881041,72.0,7.0,204.0
2025-02-17 01:26:52.892546,71.0,6.0,205.0
2025-02-17 01:26:52.895548,72.0,6.0,206.0
2025-02-17 01:26:53.914677,72.0,6.0,205.0
2025-02-17 01:26:53.920676,72.0,6.0,205.0
2025-02-17 01:26:53.934663,72.0,6.0,206.0
2025-02-17 01:26:53.936663,71.0,6.0,206.0
2025-02-17 01:26:53.938978,72.0,6.0,206.0
2025-02-17 01:26:53.960981,72.0,5.0,206.0
2025-02-17 01:26:54.974559,71.0,6.0,206.0
2025-02-17 01:26:54.983564,70.0,6.0,206.0
2025-02-17 01:26:54.997606,70.0,5.0,206.0
2025-02-17 01:26:54.999606,60.0,9.0,208.0
2025-02-17 01:26:55.011780,23.0,33.0,202.0
2025-02-17 01:26:55.013796,-4.0,56.0,173.0
2025-02-17 01:26:56.034367,14.0,14.0,187.0
2025-02-17 01:26:56.044509,4.0,-2.0,187.0
2025-02-17 01:26:56.057837,-15.0,33.0,172.0
2025-02-17 01:26:56.059837,-11.0,60.0,173.0
2025-02-17 01:26:56.071837,9.0,27.0,210.0
2025-02-17 01:26:56.073837,9.0,-14.0,191.0
2025-02-17 01:26:57.085082,10.0,64.0,214.0
2025-02-17 01:26:57.093081,28.0,29.0,217.0
2025-02-17 01:26:57.105487,0.0,0.0,211.0
2025-02-17 01:26:57.106487,-11.0,36.0,203.0
2025-02-17 01:26:57.119487,-23.0,54.0,214.0
2025-02-17 01:26:57.121487,-1.0,-9.0,231.0
2025-02-17 01:26:58.141433,15.0,57.0,278.0
2025-02-17 01:26:58.149434,-66.0,87.0,297.0
2025-02-17 01:26:58.161433,11.0,34.0,326.0
2025-02-17 01:26:58.164433,13.0,43.0,313.0
2025-02-17 01:26:58.176523,10.0,31.0,313.0
2025-02-17 01:26:58.178892,101.0,-175.0,99.0
2025-02-17 01:26:59.196626,13.0,13.0,304.0
2025-02-17 01:26:59.202160,29.0,38.0,300.0
2025-02-17 01:26:59.215080,-2.0,16.0,351.0
2025-02-17 01:26:59.217080,-10.0,24.0,351.0
2025-02-17 01:26:59.220346,10.0,46.0,28.0
2025-02-17 01:27:00.233991,28.0,0.0,340.0
2025-02-17 01:27:00.237979,43.0,18.0,302.0
2025-02-17 01:27:00.248118,3.0,19.0,240.0
2025-02-17 01:27:00.254117,9.0,36.0,237.0
2025-02-17 01:27:00.256117,-8.0,18.0,216.0
2025-02-17 01:27:00.269550,-10.0,17.0,195.0
2025-02-17 01:27:01.277350,-7.0,18.0,189.0
2025-02-17 01:27:01.282704,-7.0,20.0,190.0
2025-02-17 01:27:01.297050,-7.0,20.0,189.0
2025-02-17 01:27:01.298273,-10.0,28.0,189.0
2025-02-17 01:27:01.312393,-12.0,26.0,182.0
2025-02-17 01:27:01.313724,-10.0,25.0,181.0
2025-02-17 01:27:02.330916,-9.0,25.0,182.0
2025-02-17 01:27:02.339978,-8.0,27.0,181.0
2025-02-17 01:27:02.353978,-9.0,29.0,181.0
2025-02-17 01:27:02.367978,-7.0,27.0,181.0
2025-02-17 01:27:02.368978,-7.0,27.0,180.0
2025-02-17 01:27:02.377978,-8.0,28.0,180.0
2025-02-17 01:27:03.385702,-6.0,28.0,180.0
2025-02-17 01:27:03.394746,-4.0,25.0,180.0
2025-02-17 01:27:03.408271,-4.0,27.0,181.0
2025-02-17 01:27:03.409769,-13.0,23.0,179.0
2025-02-17 01:27:03.412775,-27.0,24.0,174.0
2025-02-17 01:27:03.424823,-29.0,22.0,174.0
2025-02-17 01:27:04.438232,-30.0,21.0,174.0
2025-02-17 01:27:04.448528,-28.0,17.0,174.0
2025-02-17 01:27:04.462582,-29.0,20.0,174.0
2025-02-17 01:27:04.464582,-33.0,22.0,174.0
2025-02-17 01:27:04.477582,-36.0,16.0,174.0
2025-02-17 01:27:04.479582,-38.0,17.0,175.0
2025-02-17 01:27:05.493068,-33.0,8.0,174.0
2025-02-17 01:27:05.506088,-27.0,1.0,177.0
2025-02-17 01:27:05.524496,-10.0,2.0,178.0
2025-02-17 01:27:05.526495,-1.0,-3.0,190.0
2025-02-17 01:27:05.539496,0.0,-4.0,192.0
2025-02-17 01:27:05.541504,1.0,-6.0,191.0
2025-02-17 01:27:06.554224,1.0,-5.0,193.0
2025-02-17 01:27:06.563132,3.0,-6.0,194.0
2025-02-17 01:27:06.576591,4.0,-4.0,196.0
2025-02-17 01:27:06.578592,6.0,-4.0,200.0
2025-02-17 01:27:06.590591,14.0,-7.0,198.0
2025-02-17 01:27:06.593592,16.0,-7.0,203.0
2025-02-17 01:27:07.602428,17.0,-9.0,203.0
2025-02-17 01:27:07.608472,16.0,-7.0,204.0
2025-02-17 01:27:07.623002,15.0,-9.0,205.0
2025-02-17 01:27:07.624002,17.0,-5.0,206.0
2025-02-17 01:27:07.638558,18.0,-1.0,208.0
2025-02-17 01:27:07.639564,19.0,2.0,205.0
2025-02-17 01:27:08.659597,19.0,2.0,205.0
2025-02-17 01:27:08.666597,19.0,6.0,206.0
2025-02-17 01:27:08.679596,18.0,6.0,205.0
2025-02-17 01:27:08.681597,18.0,3.0,204.0
2025-02-17 01:27:08.683597,17.0,-4.0,202.0
2025-02-17 01:27:08.696597,12.0,-12.0,203.0
2025-02-17 01:27:09.707699,11.0,-15.0,202.0
2025-02-17 01:27:09.712698,11.0,-18.0,202.0
2025-02-17 01:27:09.725216,10.0,-18.0,201.0
2025-02-17 01:27:09.727231,9.0,-19.0,202.0
2025-02-17 01:27:09.740725,8.0,-19.0,202.0
2025-02-17 01:27:09.742726,7.0,-18.0,200.0
2025-02-17 01:27:10.759719,8.0,-19.0,200.0
2025-02-17 01:27:10.764420,7.0,-20.0,200.0
2025-02-17 01:27:10.777917,7.0,-18.0,200.0
2025-02-17 01:27:10.779918,8.0,-17.0,199.0
2025-02-17 01:27:10.793554,6.0,-16.0,200.0
2025-02-17 01:27:10.795566,6.0,-13.0,201.0
2025-02-17 01:27:11.803298,7.0,-14.0,202.0
2025-02-17 01:27:11.807431,7.0,-12.0,202.0
2025-02-17 01:27:11.822482,6.0,-11.0,202.0
2025-02-17 01:27:11.824508,6.0,-11.0,203.0
2025-02-17 01:27:11.838586,9.0,-15.0,201.0
2025-02-17 01:27:11.840586,8.0,-13.0,202.0
2025-02-17 01:27:12.851263,10.0,-14.0,202.0
2025-02-17 01:27:12.860446,8.0,-12.0,202.0
2025-02-17 01:27:12.873446,8.0,-13.0,202.0
2025-02-17 01:27:12.874446,9.0,-12.0,201.0
2025-02-17 01:27:12.887446,9.0,-12.0,203.0
2025-02-17 01:27:12.888446,8.0,-12.0,204.0
2025-02-17 01:27:13.905584,8.0,-12.0,202.0
2025-02-17 01:27:13.913575,9.0,-13.0,203.0
2025-02-17 01:27:13.925695,8.0,-13.0,204.0
2025-02-17 01:27:13.926697,8.0,-13.0,203.0
2025-02-17 01:27:13.929698,8.0,-13.0,201.0
2025-02-17 01:27:13.941697,9.0,-13.0,202.0
2025-02-17 01:27:14.952551,9.0,-13.0,202.0
2025-02-17 01:27:14.961550,8.0,-13.0,202.0
2025-02-17 01:27:14.973688,8.0,-13.0,204.0
2025-02-17 01:27:14.975688,8.0,-13.0,203.0
2025-02-17 01:27:14.988688,8.0,-13.0,202.0
2025-02-17 01:27:14.989692,8.0,-14.0,203.0
2025-02-17 01:27:16.007904,9.0,-13.0,203.0
2025-02-17 01:27:16.015944,9.0,-13.0,204.0
2025-02-17 01:27:16.028448,9.0,-14.0,202.0
2025-02-17 01:27:16.030449,8.0,-13.0,204.0
2025-02-17 01:27:16.042449,9.0,-12.0,203.0
2025-02-17 01:27:16.044449,9.0,-13.0,203.0
2025-02-17 01:27:17.063419,8.0,-12.0,203.0
2025-02-17 01:27:17.070421,9.0,-13.0,203.0
2025-02-17 01:27:17.082419,9.0,-12.0,203.0
2025-02-17 01:27:17.084936,9.0,-14.0,203.0
2025-02-17 01:27:17.098919,9.0,-13.0,202.0
2025-02-17 01:27:17.100416,9.0,-13.0,204.0
2025-02-17 01:27:18.113694,8.0,-13.0,204.0
2025-02-17 01:27:18.117355,9.0,-13.0,203.0
2025-02-17 01:27:18.130829,9.0,-12.0,203.0
2025-02-17 01:27:18.133831,9.0,-13.0,204.0
2025-02-17 01:27:18.135853,9.0,-13.0,203.0
2025-02-17 01:27:18.147380,9.0,-13.0,204.0
2025-02-17 01:27:19.154271,9.0,-13.0,204.0
2025-02-17 01:27:19.159752,9.0,-13.0,204.0
2025-02-17 01:27:19.173337,8.0,-13.0,205.0
2025-02-17 01:27:19.174809,8.0,-13.0,204.0
2025-02-17 01:27:19.188407,8.0,-13.0,205.0
2025-02-17 01:27:19.190419,8.0,-13.0,203.0
